State,LDS Membership,Population,LDS,,,,,,,,
Alabama,"37,765","4,903,185",0.77%,,,,,,,,
Alaska,"33,495","731,545",4.58%,,,,,,,,
Arizona,"436,521","7,278,717",6.00%,,,,,,,,
Arkansas,"32,307","3,017,804",1.07%,,,,,,,,
California,"756,507","39,512,223",1.91%,,,,,,,,
Colorado,"150,509","5,758,736",2.61%,,,,,,,,
Connecticut,"15,946","3,565,287",0.45%,,,,,,,,
Delaware,"5,634","973,764",0.58%,,,,,,,,
District of Columbia,"3,144","705,749",0.45%,,,,,,,,
Florida,"160,266","21,477,737",0.75%,,,,,,,,
Georgia,"87,411","10,617,423",0.82%,,,,,,,,
Hawaii,"75,009","1,415,872",5.30%,,,,,,,,
Idaho,"462,069","1,787,065",25.86%,,,,,,,,
Illinois,"56,888","12,671,821",0.45%,,,,,,,,
Indiana,"45,952","6,732,219",0.68%,,,,,,,,
Iowa,"28,402","3,155,070",0.90%,,,,,,,,
Kansas,"38,311","2,913,314",1.32%,,,,,,,,
Kentucky,"35,886","4,467,673",0.80%,,,,,,,,
Louisiana,"29,589","4,648,794",0.64%,,,,,,,,
Maine,"10,958","1,344,212",0.82%,,,,,,,,
Maryland,"43,411","6,045,680",0.72%,,,,,,,,
Massachusetts,"28,040","6,892,503",0.41%,,,,,,,,
Michigan,"45,074","9,986,857",0.45%,,,,,,,,
Minnesota,"33,276","5,639,632",0.59%,,,,,,,,
Mississippi,"21,649","2,976,149",0.73%,,,,,,,,
Missouri,"72,525","6,137,428",1.18%,,,,,,,,
Montana,"50,552","1,068,778",4.73%,,,,,,,,
Nebraska,"25,098","1,934,408",1.30%,,,,,,,,
Nevada,"184,703","3,080,156",6.00%,,,,,,,,
New Hampshire,"8,872","1,359,711",0.65%,,,,,,,,
New Jersey,"34,173","8,882,190",0.38%,,,,,,,,
New Mexico,"69,488","2,096,829",3.31%,,,,,,,,
New York,"83,293","19,453,561",0.43%,,,,,,,,
North Carolina,"89,083","10,488,084",0.85%,,,,,,,,
North Dakota,"11,550","762,062",1.52%,,,,,,,,
Ohio,"62,623","11,689,100",0.54%,,,,,,,,
Oklahoma,"49,227","3,956,971",1.24%,,,,,,,,
Oregon,"153,540","4,217,737",3.64%,,,,,,,,
Pennsylvania,"52,290","12,801,989",0.41%,,,,,,,,
Rhode Island,"4,259","1,059,361",0.40%,,,,,,,,
South Carolina,"41,358","5,148,714",0.80%,,,,,,,,
South Dakota,"10,610","884,659",1.20%,,,,,,,,
Tennessee,"52,920","6,829,174",0.77%,,,,,,,,
Texas,"362,037","28,995,881",1.25%,,,,,,,,
Utah,"2,126,216","3,205,958",66.32%,,,,,,,,
Vermont,"4,623","623,989",0.74%,,,,,,,,
Virginia,"96,496","8,535,519",1.13%,,,,,,,,
Washington,"289,479","7,614,893",3.80%,,,,,,,,
West Virginia,"17,143","1,792,147",0.96%,,,,,,,,
Wisconsin,"27,125","5,822,434",0.47%,,,,,,,,
Wyoming,"67,729","578,759",11.70%,,,,,,,,
Totals,"6,721,031","328,239,523",2.05%,,,,,,,,
